,Title,Author names,ORCID,PubMed ID,PMC,DOI,Abstract,combined_DAS,all_urls
33,Oligodendrocyte precursor cells engulf synapses during circuit remodeling in mice,"['Yohan S. S. Auguste', 'Austin Ferro', 'Jessica A. Kahng', 'Andre M. Xavier', 'Jessica R. Dixon', 'Uma Vrudhula', 'Anne-Sarah Nichitiu', 'Daniele Rosado', 'Tse-Luen Wee', 'Ullas V. Pedmale', 'Lucas Cheadle']","['http://orcid.org/0000-0001-7359-395X', 'http://orcid.org/0000-0001-9064-1992', 'http://orcid.org/0000-0003-1783-9438', 'http://orcid.org/0000-0002-4141-3157', 'http://orcid.org/0000-0001-6484-9984']",36171430,['9534756'],['10.1038/s41593-022-01170-x'],"['Oligodendrocyte precursor cells (OPCs) give rise to myelinating oligodendrocytes throughout life, but the functions of OPCs are not limited to oligodendrogenesis. Here we show that OPCs contribute to thalamocortical presynapse elimination in the developing and adult mouse visual cortex. OPC-mediated synapse engulfment increases in response to sensory experience during neural circuit refinement. Our data suggest that OPCs may regulate synaptic connectivity in the brain independently of oligodendrogenesis.', 'Oligodendrocyte precursor cells (OPCs) have functions beyond oligodendrogenesis. Here the authors show that OPCs can engulf thalamocortical presynapses in response to sensory experience in mice.']","['Fixed raw images used in analysis, as well as for micrographs, and associated inhouse ImageJ macros used in Figs. 1â€“3 can be accessed in the following repository: 10.5281/zenodo.6991299. The raw and processed single-cell RNA-seq files are available at Gene Expression Omnibus under accession number GSE102827. All other data that support the findings of this study are available from the corresponding author on reasonable request.', 'ImageJ macros are included in the Zenodo data repository at 10.5281/zenodo.6991299.']",['https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102827']
34,Standard metadata for 3D microscopy,"['Alexander J. Ropelewski', 'Megan A. Rizzo', 'Jason R. Swedlow', 'Jan Huisken', 'Pavel Osten', 'Neda Khanjani', 'Kurt Weiss', 'Vesselina Bakalov', 'Michelle Engle', 'Lauren Gridley', 'Michelle Krzyzanowski', 'Tom Madden', 'Deborah Maiese', 'Meisha Mandal', 'Justin Waterfield', 'David Williams', 'Carol M. Hamilton', 'Wayne Huggins']","['http://orcid.org/0000-0001-6528-7768', 'http://orcid.org/0000-0002-2198-1958', 'http://orcid.org/0000-0001-7250-3756', 'http://orcid.org/0000-0002-6385-7541', 'http://orcid.org/0000-0002-4931-8541', 'http://orcid.org/0000-0001-6716-2897', 'http://orcid.org/0000-0002-1463-3883']",35896564,['9329339'],['10.1038/s41597-022-01562-5'],"['Recent advances in fluorescence microscopy techniques and tissue clearing, labeling, and staining provide unprecedented opportunities to investigate brain structure and function. These experimentsâ€™ images make it possible to catalog brain cell types and define their location, morphology, and connectivity in a native context, leading to a better understanding of normal development and disease etiology. Consistent annotation of metadata is needed to provide the context necessary to understand, reuse, and integrate these data. This report describes an effort to establish metadata standards for three-dimensional (3D) microscopy datasets for use by the Brain Research through Advancing Innovative NeurotechnologiesÂ® (BRAIN) Initiative and the neuroscience research community. These standards were built on existing efforts and developed with input from the brain microscopy community to promote adoption. The resulting 3D Microscopy Metadata Standards (3D-MMS) includes 91 fields organized into seven categories: Contributors, Funders, Publication, Instrument, Dataset, Specimen, and Image. Adoption of these metadata standards will ensure that investigators receive credit for their work, promote data reuse, facilitate downstream analysis of shared data, and encourage collaboration.']","['Brain Image Library datasets are available at https://www.brainimagelibrary.org/.', 'All custom software, including the python code to transfer csv-formatted data to JSON and to validate JSON formatted data, are freely available at https://github.com/Defining-Our-Research-Methodology-DORy/3D-Microscopy-Metadata-Standards-3D-MMS.']","['https://www.brainimagelibrary.org/', 'https://github.com/Defining-Our-Research-Methodology-DORy/3D-Microscopy-Metadata-Standards-3D-MMS']"
35,Iraq/Afghanistan war lung injury reflects burn pits exposure,"['Timothy Olsen', 'Dennis Caruana', 'Keely Cheslack-Postava', 'Austin Szema', 'Juergen Thieme', 'Andrew Kiss', 'Malvika Singh', 'Gregory Smith', 'Steven McClain', 'Timothy Glotch', 'Michael Esposito', 'Robert Promisloff', 'David Ng', 'Xueyan He', 'Mikala Egeblad', 'Richard Kew', 'Anthony Szema']",[],36038588,['9424528'],['10.1038/s41598-022-18252-2'],"['This descriptive case series retrospectively reviewed medical records from thirty-one previously healthy, war-fighting veterans who self-reported exposure to airborne hazards while serving in Iraq and Afghanistan between 2003 and the present. They all noted new-onset dyspnea, which began during deployment or as a military contractor. Twenty-one subjects underwent non-invasive pulmonary diagnostic testing, including maximum expiratory pressure (MEP) and impulse oscillometry (IOS). In addition, five soldiers received a lung biopsy; tissue results were compared to a previously published sample from a soldier in our Iraq Afghanistan War Lung Injury database and others in our database with similar exposures, including burn pits. We also reviewed civilian control samples (5) from the Stony Brook University database. Military personnel were referred to our International Center of Excellence in Deployment Health and Medical Geosciences, Donald and Barbara Zucker School of Medicine at Hofstra/Northwell under the auspices of Northwell IRB: 17-0140-FIMR Feinstein Institution for Medical Research â€œClinicopathologic characteristics of Iraq Afghanistan War Lung Injury.â€ù We retrospectively examined medical records, including exposure data, radiologic imaging, and non-invasive pulmonary function testing (MGC Diagnostic Platinum Elite Plethysmograph) using the American Thoracic Society (ATS) standard interpretation based on Morgan et al', ', and for a limited cohort, biopsy data. Lung tissue, when available, was examined for carbonaceous particles, polycyclic aromatic hydrocarbons (Raman spectroscopy), metals, titanium connected to iron (Brookhaven National Laboratory, National Synchrotron Light Source II, Beamline 5-ID), oxidized metals, combustion temperature, inflammatory cell accumulation and fibrosis, neutrophil extracellular traps, Sirius red, Prussian Blue, as well as polarizable crystals/particulate matter/dust. Among twenty-one previously healthy, deployable soldiers with non-invasive pulmonary diagnostic tests, post-deployment, all had severely decreased MEP values, averaging 42% predicted. These same patients concurrently demonstrated abnormal airways reactance (X5Hz) and peripheral/distal airways resistance (D5â€“D20%) via IOS, averaging âˆ’\u20091369% and 23% predicted, respectively. These tests support the concept of airways hyperresponsiveness and distal airways narrowing, respectively. Among the five soldiers biopsied, all had constrictive bronchiolitis or bronchiolitis or severe pulmonary fibrosis. We detected the presence of polycyclic aromatic hydrocarbons (PAH)â€”which are products of incomplete combustionâ€”in the lung tissue of all five warfighters. All also had detectable titanium and iron in the lungs. Metals were all oxidized, supporting the concept of inhaling burned metals. Combustion temperature was consistent with that of burned petrol rather than higher temperatures noted with cigarettes. All were nonsmokers. Neutrophil extracellular traps were reported in two biopsies. Compared to our prior biopsies in our Middle East deployment database, these histopathologic results are similar, since all database biopsies have constrictive bronchiolitis, one has lung fibrosis with titanium bound to iron in fixed mathematical ratios of 1:7 and demonstrated polarizable crystals. These results, particularly constrictive bronchiolitis and polarizable crystals, support the prior data of King et al. (N. Engl. J. Med. 365:222â€“230, 2011) Soldiers in this cohort deployed to Iraq and Afghanistan since 2003, with exposure to airborne hazards, including sandstorms, burn pits, and improvised explosive devices, are at high risk for developing chronic clinical respiratory problems, including: (1) reduction in respiratory muscle strength; (2) airways hyperresponsiveness; and (3) distal airway narrowing, which may be associated with histopathologic evidence of lung damage, reflecting inhalation of burned particles from burn pits along with particulate matter/dust. Non-invasive pulmonary diagnostic tests are a predictor of burn pit-induced lung injury.\n']",['The datasets used and/or analyzed during the current study are available from the corresponding author upon reasonable request.'],[]
36,The effects of microglia on tauopathy progression can be quantified using Nexopathy ,"['Chaitali Anand', 'Pedro D. Maia', 'Justin Torok', 'Christopher Mezias', 'Ashish Raj']",[],36477076,['9729195'],['10.1038/s41598-022-25131-3'],"['The prion-like transsynaptic propagation of misfolded tau along the brainâ€™s connectome has previously been modeled using connectome-based network diffusion models. In addition to the connectome, interactions between the general neurological â€œmilieuâ€ù in the neurodegenerative brain and proteinopathic species can also contribute to pathology propagation. Such a molecular nexopathy framework posits that the distinct characteristics of neurodegenerative disorders stem from interactions between the network and surrounding molecular players. However, the effects of these modulators remain unquantified. Here, we present Nexopathy ', ' (â€œNex', 'â€ù), a quantitative model of tau progression augmenting earlier models by including parameters of pathology propagation defined by the molecular modulators of connectome-based spread. Our Nex', ':microglia model provides the first quantitative characterization of this effect on the whole brain by expanding previous models of neuropathology progression by incorporating microglial influence. We show that ', ', but not microglial homeostasis genes, significantly improved the modelâ€™s predictive power. ', ' appears to reduce tau accumulation rate while increasing its interregional spread from the hippocampal seed area, causing higher tau burden in the striatum, pallidum, and contralateral hippocampus. Nex', ' provides an improved understanding and quantification of microglial contribution to tau propagation and can be flexibly modified to include other modulators of progressive neurodegeneration.']","['The source data on the mouse models, gene expression, and mesoscale mouse connectome as well as the computer code to run the models are available at our repository at https://github.com/Raj-Lab-UCSF/Nexis.']",['https://github.com/Raj-Lab-UCSF/Nexis.']
37,Spatiotemporal 3D image registration for mesoscale studies of brain development,"['Sergey Shuvaev', 'Alexander Lazutkin', 'Roman Kiryanov', 'Konstantin Anokhin', 'Grigori Enikolopov', 'Alexei A. Koulakov']",[],35256622,['8901792'],['10.1038/s41598-022-06871-8'],"['Comparison of brain samples representing different developmental stages often necessitates registering the samples to common coordinates. Although the available software tools are successful in registering 3D images of adult brains, registration of perinatal brains remains challenging due to rapid growth-dependent morphological changes and variations in developmental pace between animals. To address these challenges, we introduce CORGI (Customizable Object Registration for Groups of Images), an algorithm for the registration of perinatal brains. First, we optimized image preprocessing to increase the algorithmâ€™s sensitivity to mismatches in registered images. Second, we developed an attention-gated simulated annealing procedure capable of focusing on the differences between perinatal brains. Third, we applied classical multidimensional scaling (CMDS) to align (â€œsynchronizeâ€ù) brain samples in time, accounting for individual development paces. We tested CORGI on 28 samples of whole-mounted perinatal mouse brains (P0â€“P9) and compared its accuracy with other registration algorithms. Our algorithm offers a runtime of several minutes per brain on a laptop and automates such brain registration tasks as mapping brain data to atlases, comparing experimental groups, and monitoring brain development dynamics.']",[],[]
38,Cell environment shapes TDP-43 function with implications in neuronal and muscle disease,"['UrÅ¡a Å uÅ¡njar', 'Neva Å krabar', 'Anna-Leigh Brown', 'Yasmine Abbassi', 'Hemali Phatnani', 'H. Phatnani', 'P. Fratta', 'J. Kwan', 'D. Sareen', 'J. R. Broach', 'Z. Simmons', 'X. Arcila-Londono', 'E. B. Lee', 'V. M. Van Deerlin', 'N. A. Shneider', 'E. Fraenkel', 'L. W. Ostrow', 'F. Baas', 'J. D. Berry', 'O. Butovsky', 'R. H. Baloh', 'Ophir Shalem', 'T. Heiman-Patterson', 'L. Stefanis', 'S. Chandran', 'S. Pal', 'C. Smith', 'A. Malaspina', 'M. G. Hammell', 'N. A. Patsopoulos', 'J. Dubnau', 'M. Poss', 'B. Zhang', 'N. Zaitlen', 'E. Hornstein', 'T. M. Miller', 'E. Dardiotis', 'R. Bowser', 'V. Menon', 'M. Harms', 'N. Atassi', 'D. J. Lange', 'D. J. MacGowan', 'C. McMillan', 'E. Aronica', 'B. Harris', 'J. Ravits', 'J. Crary', 'L. M. Thompson', 'T. Raj', 'S. Paganoni', 'D. J. Adams', 'S. Babu', 'V. Drory', 'M. Gotkine', 'I. Broce', 'J. Phillips-Cremins', 'A. Nath', 'S. Finkbeiner', 'G. A. Cox', 'Andrea Cortese', 'Cristina Cereda', 'Enrico Bugiardini', 'Rosanna Cardani', 'Giovanni Meola', 'Michela Ripolone', 'Maurizio Moggio', 'Maurizio Romano', 'Maria Secrier', 'Pietro Fratta', 'Emanuele Buratti']","['http://orcid.org/0000-0002-4820-2897', 'http://orcid.org/0000-0003-2758-1741', 'http://orcid.org/0000-0002-8762-8188', 'http://orcid.org/0000-0002-1356-9074']",35383280,['8983780'],['10.1038/s42003-022-03253-8'],"['TDP-43 (TAR DNA-binding protein 43) aggregation and redistribution are recognised as a hallmark of amyotrophic lateral sclerosis and frontotemporal dementia. As TDP-43 inclusions have recently been described in the muscle of inclusion body myositis patients, this highlights the need to understand the role of TDP-43 beyond the central nervous system. Using RNA-seq, we directly compare TDP-43-mediated RNA processing in muscle (C2C12) and neuronal (NSC34) mouse cells. TDP-43 displays a cell-type-characteristic behaviour targeting unique transcripts in each cell-type, which is due to characteristic expression of RNA-binding proteins, that influence TDP-43â€™s performance and define cell-type specific splicing. Among splicing events commonly dysregulated in both cell lines, we identify some that are TDP-43-dependent also in human cells. Inclusion levels of these alternative exons are altered in tissues of patients suffering from FTLD and IBM. We therefore propose that TDP-43 dysfunction contributes to disease development either in a common or a tissue-specific manner.', 'The aetiology of the TDP-43 aggregation manifest itself in the muscle and neuronal cells. Here authors show cell-type characteristic functions of TDP43, reflected in aberrant splicing, likely contributing to disease development.']","['Datasets generated for this study were deposited in NCBIâ€™s GEO and are accessible through GEO Series accession number GSE171714. iCLIP data generated by Tollervey et al.21 that support the findings of this study were deposited in the ArrayExpress archive and are accessible at E-MTAB-530. RNA-seq data of the F210I mouse generated by ref. 45 were deposited in the NCBI Sequence Read Archive and are accessible at SRP133158. RNA-seq data generated through the NYGC ALS Consortium used in this study can be accessed at GEO (GSE137810, GSE124439, GSE116622 and GSE153960). To request immediate access to new and ongoing data generated by the NYGC ALS Consortium for samples provided through the Target ALS post-mortem core, contact ALSData@nygenome.org. All RNA-seq data in the NYGC ALS Consortium are made immediately available to all members of the Consortium and with other Consortia with whom we have a reciprocal sharing arrangement. Uncropped and unedited blot images are included in Supplementary Fig. 6. All data generated for this study is available from the corresponding author on reasonable request.']",[]
39,SorghumBase: a web-based portal for sorghum genetic information and community advancement,"['Nicholas Gladman', 'Andrew Olson', 'Sharon Wei', 'Kapeel Chougule', 'Zhenyuan Lu', 'Marcela Tello-Ruiz', 'Ivar Meijs', 'Peter Van Buren', 'Yinping Jiao', 'Bo Wang', 'Vivek Kumar', 'Sunita Kumari', 'Lifang Zhang', 'John Burke', 'Junping Chen', 'Gloria Burow', 'Chad Hayes', 'Yves Emendack', 'Zhanguo Xin', 'Doreen Ware']",['http://orcid.org/0000-0002-8125-3821'],35015132,['8752523'],['10.1007/s00425-022-03821-6'],[],"['All datasets described in this article have been previously published, are publicly available, and can be found linked from https://www.sorghumbase.org.']",['https://www.sorghumbase.org']
40,Senescence Rewires Microenvironment Sensing to Facilitate Antitumor Immunity,"['Hsuan-An Chen', 'Yu-Jui Ho', 'Riccardo Mezzadra', 'Jose M. Adrover', 'Ryan Smolkin', 'Changyu Zhu', 'Katharina Woess', 'Nicholas Bernstein', 'Georgia Schmitt', 'Linda Fong', 'Wei Luan', 'Alexandra Wuest', 'Sha Tian', 'Xiang Li', 'Caroline Broderick', 'Ronald C. Hendrickson', 'Mikala Egeblad', 'Zhenghao Chen', 'Direna Alonso-Curbelo', 'Scott W. Lowe']","['https://orcid.org/0000-0002-8979-3670', 'https://orcid.org/0000-0002-7540-024X', 'https://orcid.org/0000-0002-7737-8461', 'https://orcid.org/0000-0002-1395-5477', 'https://orcid.org/0000-0002-8353-2672', 'https://orcid.org/0000-0003-3583-3638', 'https://orcid.org/0000-0001-6189-2733', 'https://orcid.org/0000-0001-9685-0998', 'https://orcid.org/0000-0001-7554-9880', 'https://orcid.org/0000-0001-6833-7185', 'https://orcid.org/0000-0002-9988-0612', 'https://orcid.org/0000-0001-7337-8619', 'https://orcid.org/0000-0002-5614-8480', 'https://orcid.org/0000-0001-7422-251X', 'https://orcid.org/0000-0001-5733-8625', 'https://orcid.org/0000-0002-0851-903X', 'https://orcid.org/0000-0002-3371-1445', 'https://orcid.org/0000-0002-9859-3005', 'https://orcid.org/0000-0001-6674-3059', 'https://orcid.org/0000-0002-5284-9650']",36302222,['9901536'],['10.1158/2159-8290.CD-22-0528'],"['Tumor cells triggered to senesce alter how they send and receive microenvironmental signals, leading to tissue remodeling, immune cell recruitment, hypersensitization to environmental IFNÎ_, and improved antitumor immunity.', 'Cellular senescence involves a stable cell-cycle arrest coupled to a secretory program that, in some instances, stimulates the immune clearance of senescent cells. Using an immune-competent liver cancer model in which senescence triggers CD8 T cellâ€“mediated tumor rejection, we show that senescence also remodels the cell-surface proteome to alter how tumor cells sense environmental factors, as exemplified by type II interferon (IFNÎ_). Compared with proliferating cells, senescent cells upregulate the IFNÎ_ receptor, become hypersensitized to microenvironmental IFNÎ_, and more robustly induce the antigen-presenting machineryâ€”effects also recapitulated in human tumor cells undergoing therapy-induced senescence. Disruption of IFNÎ_ sensing in senescent cells blunts their immune-mediated clearance without disabling the senescence state or its characteristic secretory program. Our results demonstrate that senescent cells have an enhanced ability to both send and receive environmental signals and imply that each process is required for their effective immune surveillance.']",['Bulk and single-cell RNA-seq data generated in this study are available in the Gene Expression Omnibus database under the super-series GSE203140. Code for scRNA-seq data analysis is available at https://github.com/calico/Senescence_CD45. The mass spectrometry proteomics data have been deposited to the ProteomeXchange Consortium via the PRIDE partner repository with the dataset identifier PXD034465.'],[]
41,Genetic Ancestry Inference from Cancer-Derived Molecular Data across Genomic and Transcriptomic Platforms,"['Pascal Belleau', 'Astrid DeschÃªnes', 'Nyasha Chambwe', 'David A. Tuveson', 'Alexander Krasnitz']","['https://orcid.org/0000-0002-0802-1071', 'https://orcid.org/0000-0001-7846-6749', 'https://orcid.org/0000-0002-2812-0122', 'https://orcid.org/0000-0002-8017-2712', 'https://orcid.org/0000-0002-9465-0308']",36351074,['9811156'],['10.1158/0008-5472.CAN-22-0682'],"['The development of a computational approach that enables accurate and robust ancestry inference from cancer-derived molecular profiles without matching cancer-free data provides a valuable methodology for genetic ancestryâ€“oriented cancer research.', 'Genetic ancestryâ€“oriented cancer research requires the ability to perform accurate and robust genetic ancestry inference from existing cancer-derived data, including whole-exome sequencing, transcriptome sequencing, and targeted gene panels, very often in the absence of matching cancer-free genomic data. Here we examined the feasibility and accuracy of computational inference of genetic ancestry relying exclusively on cancer-derived data. A data synthesis framework was developed to optimize and assess the performance of the ancestry inference for any given input cancer-derived molecular profile. In its core procedure, the ancestral background of the profiled patient is replaced with one of any number of individuals with known ancestry. The data synthesis framework is applicable to multiple profiling platforms, making it possible to assess the performance of inference specifically for a given molecular profile and separately for each continental-level ancestry; this ability extends to all ancestries, including those without statistically sufficient representation in the existing cancer data. The inference procedure was demonstrated to be accurate and robust in a wide range of sequencing depths. Testing of the approach in four representative cancer types and across three molecular profiling modalities showed that continental-level ancestry of patients can be inferred with high accuracy, as quantified by its agreement with the gold standard of deriving ancestry from matching cancer-free molecular data. This study demonstrates that vast amounts of existing cancer-derived molecular data are potentially amenable to ancestry-oriented studies of the disease without requiring matching cancer-free genomes or patient self-reported ancestry.']","['Ancestry inference methods introduced in this work are implemented in an R language package RAIDS (Robust Ancestry Inference using Data Synthesis) is publicly available, under the Apache-2.0 license, at https://github.com/KrasnitzLab/RAIDS. Documentation for this software is available at https://krasnitzlab.github.io/RAIDS/. The data analyzed in this study were obtained from the National Center for Biotechnology (NCBI) database of Genotypes and Phenotypes (dbGaP) archive under accession numbers phs001611.v1.p1, phs001657.v1.p1 and phs000178.v11.p8.']","['https://github.com/KrasnitzLab/RAIDS', 'https://krasnitzlab.github.io/RAIDS/']"
42,Pan-human consensus genome significantly improves the accuracy of RNA-seq analyses,"['Benjamin Kaminow', 'Sara Ballouz', 'Jesse Gillis', 'Alexander Dobin']","['http://orcid.org/0000-0002-0936-9774', 'http://orcid.org/0000-0002-4115-9128']",35256454,['8997357'],['10.1101/gr.275613.121'],"['The Human Reference Genome serves as the foundation for modern genomic analyses. However, in its present form, it does not adequately represent the vast genetic diversity of the human population. In this study, we explored the consensus genome as a potential successor of the current reference genome and assessed its effect on the accuracy of RNA-seq read alignment. To find the best haploid genome representation, we constructed consensus genomes at the pan-human, superpopulation, and population levels, using variant information from The 1000 Genomes Project Consortium. Using personal haploid genomes as the ground truth, we compared mapping errors for real RNA-seq reads aligned to the consensus genomes versus the reference genome. For reads overlapping homozygous variants, we found that the mapping error decreased by a factor of approximately two to three when the reference was replaced with the pan-human consensus genome. We also found that using more population-specific consensuses resulted in little to no increase over using the pan-human consensus, suggesting a limit in the utility of incorporating a more specific genomic variation. Replacing the reference with consensus genomes impacts functional analyses, such as differential expressions of isoforms, genes, and splice junctions.']",[],[]
43,RNA Pol II pausing facilitates phased pluripotency transitions by buffering transcription,"['Abderhman Abuhashem', 'Alexandra G. Chivu', 'Yixin Zhao', 'Edward J. Rice', 'Adam Siepel', 'Charles G. Danko', 'Anna-Katerina Hadjantonakis']","['http://orcid.org/0000-0002-6135-5679', 'http://orcid.org/0000-0002-7856-2818', 'http://orcid.org/0000-0002-3557-7219', 'http://orcid.org/0000-0002-7580-5124']",35981753,['9480856'],['10.1101/gad.349565.122'],"['In this study, Abuhashem et al. investigated the phenotypic and mechanistic details of the requirement for Pol II pausing during mammalian development. The authors found that loss of Pol II pausing stalls pluripotent state transitions within the epiblast of the early mouse embryo, and their work defines the acute and long-term molecular consequences of NELF loss and reveals a role for Pol II pausing in the pluripotency continuum as a modulator of cell state transitions.', 'Promoter-proximal RNA Pol II pausing is a critical step in transcriptional control. Pol II pausing has been predominantly studied in tissue culture systems. While Pol II pausing has been shown to be required for mammalian development, the phenotypic and mechanistic details of this requirement are unknown. Here, we found that loss of Pol II pausing stalls pluripotent state transitions within the epiblast of the early mouse embryo. Using ', ' mice and a NELFB degron mouse pluripotent stem cell model, we show that embryonic stem cells (ESCs) representing the naÃ¯ve state of pluripotency successfully initiate a transition program but fail to balance levels of induced and repressed genes and enhancers in the absence of NELF. We found an increase in chromatin-associated NELF during transition from the naÃ¯ve to later pluripotent states. Overall, our work defines the acute and long-term molecular consequences of NELF loss and reveals a role for Pol II pausing in the pluripotency continuum as a modulator of cell state transitions.']",['Raw and processed sequencing data from this work have been deposited in the Gene Expression Omnibus under the accession numbers GSE196543 for ChIP-seq and GSE196653 for PRO-seq.'],[]
44,Learning single-cell chromatin accessibility profiles using meta-analytic marker genes,"['Risa Karakida Kawaguchi', 'Ziqi Tang', 'Stephan Fischer', 'Chandana Rajesh', 'Rohit Tripathy', 'Peter K Koo', 'Jesse Gillis']",[],36549922,['9851328'],['10.1093/bib/bbac541'],[],['Source codes and marker gene sets are available at https://github.com/carushi/Catactor. Pseudo-bulk profiles of all collected data are published at Meta scATAC-seq server https://gillisweb.cshl.edu/Meta_scATAC/.'],"['https://github.com/carushi/Catactor', 'https://gillisweb.cshl.edu/Meta_scATAC/']"
45,Defining the extent of gene function using ROC curvature,"['Stephan Fischer', 'Jesse Gillis']","['https://orcid.org/0000-0002-7034-4103', 'https://orcid.org/0000-0002-0936-9774']",36271855,['9750128'],['10.1093/bioinformatics/btac692'],[],"['The datasets were derived from sources in the public domain: co-expression data were obtained from the CoCoCoNet website (http://labshare.cshl.edu/shares/gillislab/resource/CoCoCoNet, 20 April 2021, date last accessed), protein-protein interaction data from BIOGRID (https://downloads.thebiogrid.org/Download/BioGRID, version 4.4.197), drug-target interaction from STITCH (http://stitch.embl.de/download, version 5.0), domain information from UniprotKB (https://rest.uniprot.org/uniprotkb, 12 August 2022, date last accessed), gene ontology information from the gene ontology website (http://current.geneontology.org/ontology/go-basic.obo, 19 December 2018, date last accessed) and the JAX website (http://www.informatics.jax.org/downloads/reports/gene_association.mgi.gz, 12 December 2018, date last accessed), data from the Tabula Muris consortium from FigShare (https://figshare.com/articles/dataset/Single-cell_RNA-seq_data_from_microfluidic_emulsion_v2_/5968960/3; https://figshare.com/articles/dataset/Single-cell_RNA-seq_data_from_Smart-seq2_sequencing_of_FACS_sorted_cells_v2_/5829687/8).']","['http://labshare.cshl.edu/shares/gillislab/resource/CoCoCoNet,accessed2021/04/20', 'https://downloads.thebiogrid.org/Download/BioGRID', 'http://stitch.embl.de/download', 'https://rest.uniprot.org/uniprotkb', 'http://current.geneontology.org/ontology/go-basic.obo', 'http://www.informatics.jax.org/downloads/reports/gene_association.mgi.gz', 'https://figshare.com/articles/dataset/Single-cell_RNA-seq_data_from_microfluidic_emulsion_v2_/5968960/3', 'https://figshare.com/articles/dataset/Single-cell_RNA-seq_data_from_Smart-seq2_sequencing_of_FACS_sorted_cells_v2_/5829687/8']"
46,Testing for Phylogenetic Signal in Single-Cell RNA-Seq Data,"['JiÅ™Ã_ C. Moravec', 'Robert Lanfear', 'David L. Spector', 'Sarah D. Diermeier', 'Alex Gavryushkin']","['https://orcid.org/0000-0002-3651-1924', 'https://orcid.org/0000-0001-6299-8249']",36475926,['10125402'],['10.1089/cmb.2022.0357'],"['Phylogenetic methods are emerging as a useful tool to understand cancer evolutionary dynamics, including tumor structure, heterogeneity, and progression. Most currently used approaches utilize either bulk whole genome sequencing or single-cell DNA sequencing and are based on calling copy number alterations and single nucleotide variants (SNVs). Single-cell RNA sequencing (scRNA-seq) is commonly applied to explore differential gene expression of cancer cells throughout tumor progression. The method exacerbates the single-cell sequencing problem of low yield per cell with uneven expression levels. This accounts for low and uneven sequencing coverage and makes SNV detection and phylogenetic analysis challenging. In this article, we demonstrate for the first time that scRNA-seq data contain sufficient evolutionary signal and can also be utilized in phylogenetic analyses. We explore and compare results of such analyses based on both expression levels and SNVs called from scRNA-seq data. Both techniques are shown to be useful for reconstructing phylogenetic relationships between cells, reflecting the clonal composition of a tumor. Both standardized expression values and SNVs appear to be equally capable of reconstructing a similar pattern of phylogenetic relationship. This pattern is stable even when phylogenetic uncertainty is taken in account. Our results open up a new direction of somatic phylogenetics based on scRNA-seq data. Further research is required to refine and improve these approaches to capture the full picture of somatic evolutionary dynamics in cancer.']","['Code required to replicate the data processing steps is available at https://github.com/bioDS/phyloRNAanalysis.', 'To aid in creating pipelines for phylogenetic analysis of scRNA-seq data, we have integrated a number of common tools in the R phyloRNA package, which is available at https://github.com/bioDS/phyloRNA.', 'Raw reads and expression matrices produced by Cellranger for the BCX dataset are in the NCBI GEO under the accession number GSE163210.', 'Alignments in the fasta format, reconstructed trees, and phylogenetic clustering test results are available at https://github.com/bioDS/phyloRNAanalysis/tree/processed_files.']",[]
47,GluN2Aâ€êSelective NMDA Receptor Antagonists: Mimicking the Uâ€êShaped Bioactive Conformation of TCNâ€ê201 by a [2.2]Paracyclophane System,"['Ruben Steigerwald', 'Tsungâ€êHan Chou', 'Hiro Furukawa', 'Bernhard WÃ_nsch']",['http://orcid.org/0000-0002-9030-8417'],36169098,['9828697'],['10.1002/cmdc.202200484'],"['Under physiological conditions, ', 'â€êMethylâ€ê', 'â€ê', 'spartate (NMDA) receptors play a crucial role for synaptic plasticity, longâ€êterm potentiation and longâ€êterm depression. However, overactivation of NMDA receptors can result in excitotoxicity, which is associated with various neurological and neurodegenerative diseases. The physiological properties of NMDA receptors are strongly dependent on the GluN2 subunit incorporated into the heterotetrameric NMDA receptor. Therefore, subtype selective NMDA receptor modulators are of high interest. Since prototypical GluN2Aâ€êNMDA receptor antagonists TCNâ€ê201 and its MPXâ€êanalogs adopt a Uâ€êshaped conformation within the binding pocket, paracyclophanes were designed containing the phenyl rings in an already parallel orientation. Docking studies of the designed paracyclophanes show a similar binding pose as TCNâ€ê201. [2.2]Paracyclophanes with a benzoate or benzamide side chain were prepared in fourâ€êstep synthesis, respectively, starting with a radical bromination in benzylic 1â€êposition of [2.2]paracyclophane. In twoâ€êelectrode voltage clamp experiments using ', ' oocytes transfected with cRNAs for the GluN1â€ê4a and GluN2A subunits, the esters and amides (conc. 10\u2005Î_M) did not show considerable inhibition of ion flux. It can be concluded that the GluN2Aâ€êNMDA receptor does not accept ligands with a paracyclophane scaffold functionalized in benzylic 1â€êposition, although docking studies had revealed promising binding poses for benzoic acid esters and benzamides.', '\n', ', prototypical antagonists adopt a Uâ€êshaped conformation within the binding site of GluN2A subunit containing NMDA receptors. [2.2]Paracyclophanes were designed and synthesized to mimic this unconventional conformation. Although docking studies revealed promising binding poses, the inhibition of the ion channel was rather low.', '\n']",['The data that support the findings of this study are available from the corresponding author upon reasonable request.'],[]
